id,circ_lib,creator,call_number,editor,create_date,edit_date,copy_number,status,location,loan_duration,fine_level,age_protect,circulate,deposit,ref,holdable,deposit_amount,price,barcode,circ_modifier,circ_as_type,dummy_title,dummy_author,alert_message,opac_visible,deleted,floating,dummy_isbn,status_changed_time,mint_condition,cost,active_date,egid,hseq,l_price,l_call_num,l_barcode,l_location,l_create_date
116736,,,,,2012-07-17 00:55:54.448638-05,2012-07-17 00:55:54.448638-05,,0,1,,,,t,f,f,t,0.00,,,,,,,,t,f,f,,,t,,,168323,18254,"","","","",""
116833,,,,,2012-07-17 00:55:54.448638-05,2012-07-17 00:55:54.448638-05,,0,1,,,,t,f,f,t,0.00,,,,,,,,t,f,f,,,t,,,168421,18351,"","","","",""
117712,,,,,2012-07-17 00:55:54.448638-05,2012-07-17 00:55:54.448638-05,,0,1,,,,t,f,f,t,0.00,,,,,,,,t,f,f,,,t,,,169316,19230,"","","","",""
122827,,,,,2012-07-17 00:55:54.448638-05,2012-07-17 00:55:54.448638-05,,0,1,,,,t,f,f,t,0.00,,,,,,,,t,f,f,,,t,,,174488,24345,"","","","",""
132271,,,,,2012-07-17 00:55:54.448638-05,2012-07-17 00:55:54.448638-05,,0,1,,,,t,f,f,t,0.00,,,,,,,,t,f,f,,,t,,,184018,33789,"","","","",""
132353,,,,,2012-07-17 00:55:54.448638-05,2012-07-17 00:55:54.448638-05,,0,1,,,,t,f,f,t,0.00,,,,,,,,t,f,f,,,t,,,184101,33871,"","","","",""
132799,,,,,2012-07-17 00:55:54.448638-05,2012-07-17 00:55:54.448638-05,,0,1,,,,t,f,f,t,0.00,,,,,,,,t,f,f,,,t,,,184442,34317,"","","","",""
133086,,,,,2012-07-17 00:55:54.448638-05,2012-07-17 00:55:54.448638-05,,0,1,,,,t,f,f,t,0.00,,,,,,,,t,f,f,,,t,,,184654,34604,"","","","",""
133446,,,,,2012-07-17 00:55:54.448638-05,2012-07-17 00:55:54.448638-05,,0,1,,,,t,f,f,t,0.00,,,,,,,,t,f,f,,,t,,,184978,34964,"","","","",""
133485,,,,,2012-07-17 00:55:54.448638-05,2012-07-17 00:55:54.448638-05,,0,1,,,,t,f,f,t,0.00,,,,,,,,t,f,f,,,t,,,185019,35003,"","","","",""
